seq_no,Line_Description,contract_number
144879,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
144880,"LEAD, TENDRIL MRI 52CM",PP-CA-449
144881,"LEAD, TENDRILL STS 58",PP-CA-449
144885,"CATH, AVEIR DELIVERY LEADLESS VR",PP-CA-449
144886,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
144887,"LEAD, TENDRILL STS 52",PP-CA-449
144888,"LEAD, TENDRILL STS 58",PP-CA-449
144889,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
144890,"GENERATOR, QUADRA ASSURA MP CRT-D DF4",PP-CA-449
144891,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
144892,"LEAD, TENDRILL STS 52",PP-CA-449
144893,"LEAD, TENDRILL STS 58",PP-CA-449
146018,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
146019,"GENERATOR, GALLANT VR ICD",PP-CA-449
146020,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
146021,"LEAD, TENDRIL MRI 46CM",PP-CA-449
146022,"GENERATOR, GALLANT DR ICD",PP-CA-449
146023,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7122Q/58",PP-CA-449
146024,"LEAD, TENDRIL MRI 52CM",PP-CA-449
146025,"GENERATOR, GALLANT DR ICD",PP-CA-449
146026,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7120Q/65",PP-CA-449
146027,"GENERATOR, GALLANT VR ICD",PP-CA-449
146028,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7122Q/58",PP-CA-449
147526,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
147527,"LEAD, TENDRIL MRI 52CM",PP-CA-449
147528,"LEAD, TENDRILL STS 58",PP-CA-449
147529,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
147530,"LEAD, TENDRILL STS 46",PP-CA-449
147531,"LEAD, TENDRILL STS 52",PP-CA-449
147532,"GENERATOR, FORTIFY ASSURA NEXT GEN ICD DR 40 DF4 CONN",PP-CA-449
149088,"CATH, AVEIR DELIVERY LEADLESS VR",PP-CA-449
149089,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 50CM",PP-CA-449
149090,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 30CM",PP-CA-449
149091,"CATH, AVEIR RETRACTOR LEADLESS  VR TRI LOOP",PP-CA-449
150252,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",PP-CA-449
150253,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 46CM",PP-CA-449
150254,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 52CM",PP-CA-449
158798,"CATH, AVEIR RETRACTOR LEADLESS  VR TRI LOOP",PP-CA-449
158800,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 30CM",PP-CA-449
158801,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
159940,"CATH, AVEIR DELIVERY LEADLESS VR",PP-CA-449
159941,"KIT, AVEIR INTRODUCER LEADLESS 25FR ID 50CM",PP-CA-449
162145,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 58CM",PP-CA-449
162146,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",PP-CA-449
162147,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",PP-CA-449
162149,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 58CM",PP-CA-449
173150,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 46CM",PP-CA-449
180766,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",PP-CA-449
180767,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 46CM",PP-CA-449
180768,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 52CM",PP-CA-449
180769,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",PP-CA-449
180770,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 52CM",PP-CA-449
180771,"LEAD PACING BIPOLAR EXTENDABLE RETRACTABLE HELIX FIXATION IS1 TENDRIL STS OPTIM 58CM",PP-CA-449
180772,"PACEMAKER CARDIAC QUADRA ALLURE MP 15ML 26GM 59X6X56MM",PP-CA-449
180773,"DEFIBRILLATOR CARDIAC DUAL CHAMBER IS1 DF4 GALLANTDR 31ML 71GM 51X69X12MM",PP-CA-449
180776,"DEFIBRILLATOR CARDIAC IS1 IS4 DF4 GALLANTHF 34ML 76GM 51X74X12MM",PP-CA-449
180778,"INTRODUCER SHEATH UPSIZED WIDE SHAPED SLITTABLE OUTER GUIDE CPS DIRECT SL II 47CM",PP-CA-449
180779,"LEAD PACING HEART QUADRIPOLAR PASSIVE FIXATION S CURVE QUARTET LEFT 86CM",PP-CA-449
180780,"DEFIBRILLATOR CARDIAC SINGLE CHAMBER DF4 GALLANT VR 30ML 69GM 51X63X12MM",PP-CA-449
181776,"GENERATOR, UNIFY ASSURA NEXT GEN CRT-D 40 DF4 CONN",PP-CA-449
181777,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
181778,"GENERATOR, GALLANT VR ICD",PP-CA-449
186215,"GENERATOR, ASSURITY MRI PACER SR RF",PP-CA-449
186216,"LEAD, TENDRILL STS 58",PP-CA-449
186239,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
186240,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
186241,"GENERATOR, FORTIFY ASSURA NEXT GEN ICD VR 40 DF4 CONN",PP-CA-449
186242,"LEAD, TENDRILL STS 52",PP-CA-449
186244,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
186246,"GENERATOR, QUADRA ALLURE MP CRT-P MRI",PP-CA-449
186247,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
186248,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
186249,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
186250,"LEAD, TENDRIL MRI 46CM",PP-CA-449
186251,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7122Q/58",PP-CA-449
186252,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
186253,"LEAD, ISOFLEX OPTIM 1944/52",PP-CA-449
