seq_no,Line_Description,contract_number
159600,"CALIBRATOR CHEMISTRY STAT 9MIN TROPININ T CALSET 4ML",PP-LA-524
159601,"CALIBRATOR CHEMISTRY TSH CALSET 4X1.3ML",PP-LA-524
159602,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
159605,"CALIBRATOR CHEMISTRY CORTISOL II CALSET",PP-LA-524
161248,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
161249,"CONTROL CHEMISTRY PRECI UNIVERSAL ELECSYS 4X3ML",PP-LA-524
162740,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
162741,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
164215,"VIAL IMMUNOLOGY CAL SET ELECSYS COBAS E",PP-LA-524
170359,"REAGENT, COBAS ELECSYS PCT (100 TESTS)",PP-LA-524
170360,"TESPACK, TROPONIN STAT GEN 4 (100T)",PP-LA-524
170361,"TESTPACK, CEA (100)",PP-LA-524
170362,"TESTPACK, CK-MB STAT GEN 4 (100 TEST)",PP-LA-524
170363,"TESTPACK, CORTISOL II (100 TESTS)",PP-LA-524
170364,"TESTPACK, ELECSYS 2010 TSH (200)",PP-LA-524
170365,"TESTPACK, ELECSYS FT4 II  (200)",PP-LA-524
170366,"TESTPACK, ELECSYS HCG+BETA (100)",PP-LA-524
170368,"TESTPACK, ELECSYS VITAMIN B12 GEN-2 (100 TEST)",PP-LA-524
170369,"TESTPACK, ELECYS TOTAL PSA GEN 2.1 (100 TESTS)",PP-LA-524
170370,"TESTPACK, FERRITIN (100)",PP-LA-524
170371,"TESTPACK, FOLATE III (100 TEST)",PP-LA-524
170372,"TESTPACK, FT3 GEN3 (200)",PP-LA-524
170373,"TESTPACK, PTH (100)",PP-LA-524
170374,"TESTPACK, T3 (200)",PP-LA-524
170375,"TESTPACK, T4 (200)",PP-LA-524
178905,"proBNP G2 STAT Elecsys cobas e 100 V2.1",PP-LA-524
202367,"CONTROL CHEMISTRY PRE CLEAN M ELECSYS 600ML",PP-LA-524
210988,"CALIBRATOR CHEMISTRY CORTISOL II CALSET",PP-LA-524
230447,"TESPACK, TROPONIN STAT GEN 4 (100T)",PP-LA-524
231464,"TESTPACK, AFP (100)",PP-LA-524
231465,"TESTPACK, CA 125 II (100)",PP-LA-524
231466,"TESTPACK, CA 15-3 II (100)",PP-LA-524
231467,"TESTPACK, CA19-9 (100)",PP-LA-524
231468,"TESTPACK, ESTRADIOL III (100)",PP-LA-524
231469,"TESTPACK, FSH (100)",PP-LA-524
231470,"TESTPACK, LH (100)",PP-LA-524
231471,"TESTPACK, PROGESTERONE III (100)",PP-LA-524
231472,"TESTPACK, PROLACTIN II (100)",PP-LA-524
231473,"TESTPACK, PTH-STAT (100)",PP-LA-524
231474,"TESTPACK, TESTOSTERONE II (100)",PP-LA-524
232992,"TESTPACK, ELECSYS FT4 II  (200)",PP-LA-524
232993,"TESTPACK, CORTISOL II (100 TESTS)",PP-LA-524
236960,"TESTPACK, COBAS E-ELECSYS PROBNP GEN2 (100)",PP-LA-524
238435,"TESTPACK, PROBNP G2 STAT (100)",PP-LA-524
238436,"CALIBRATOR, PROBNP STAT CS ELECSYS (4 X 1ML)",PP-LA-524
239833,"TESTPACK, COBAS E-ELECSYS PROBNP GEN2 (100)",PP-LA-524
242302,"TESTPACK, ELECSYS 2010 HCG STAT 11 (100)",PP-LA-524
242303,"TESTPACK, ELECSYS 2010 TSH (200)",PP-LA-524
245079,"TESTPACK, PTH (100)",PP-LA-524
248869,"TESTPACK, CORTISOL II (100 TESTS)",PP-LA-524
248870,"TESTPACK, FERRITIN (100)",PP-LA-524
248871,"TESTPACK, ELECSYS FT4 II  (200)",PP-LA-524
248872,"TESTPACK, ELECSYS 2010 HCG STAT 11 (100)",PP-LA-524
248873,"TESTPACK, ELECSYS 2010 TSH (200)",PP-LA-524
264571,"REAGENT, COBAS ELECSYS PCT (100 TESTS)",PP-LA-524
264572,"TESPACK, TROPONIN STAT GEN 4 (100T)",PP-LA-524
264573,"TESTPACK, CEA (100)",PP-LA-524
264574,"TESTPACK, CK-MB STAT GEN 4 (100 TEST)",PP-LA-524
264575,"TESTPACK, CORTISOL II (100 TESTS)",PP-LA-524
264576,"TESTPACK, ELECSYS 2010 TSH (200)",PP-LA-524
264577,"TESTPACK, ELECSYS FT4 II  (200)",PP-LA-524
264578,"TESTPACK, ELECSYS HCG+BETA (100)",PP-LA-524
264580,"TESTPACK, ELECSYS VITAMIN B12 GEN-2 (100 TEST)",PP-LA-524
264581,"TESTPACK, ELECYS TOTAL PSA GEN 2.1 (100 TESTS)",PP-LA-524
264582,"TESTPACK, FERRITIN (100)",PP-LA-524
264583,"TESTPACK, FOLATE III (100 TEST)",PP-LA-524
264584,"TESTPACK, FT3 GEN3 (200)",PP-LA-524
264585,"TESTPACK, PTH (100)",PP-LA-524
264586,"TESTPACK, T3 (200)",PP-LA-524
264587,"TESTPACK, T4 (200)",PP-LA-524
264588,"TESTPACK, COBAS E-ELECSYS PROBNP GEN 2 (100)",PP-LA-524
268600,"TESTPACK, COBAS E-ELECSYS PROBNP GEN 2 (100)",PP-LA-524
268601,"TESTPACK, ELECSYS FT4 II  (200)",PP-LA-524
268602,"TESTPACK, FERRITIN (100)",PP-LA-524
268603,"TESTPACK, FT3 GEN3 (200)",PP-LA-524
272069,"TESPACK, TROPONIN STAT GEN 4 (100T)",PP-LA-524
272070,"TESTPACK, COBAS E-ELECSYS PROBNP GEN 2 (100)",PP-LA-524
275219,"TUBING, PICH VALVE FOR COBAS E411",PP-LA-524
276254,"TUBING, PICH VALVE FOR COBAS E411",PP-LA-524
276256,"CONTROL, PRECI MULTIMARKER (6 X 2ML)",PP-LA-524
288232,"TESTPACK, FOLATE III (100 TEST)",PP-LA-524
305284,"CONTROL, PRECI MULTIMARKER (6 X 2ML)",PP-LA-524
310541,"TESTPACK, AFP (100)",PP-LA-524
310542,"TESTPACK, CA 15-3 II (100)",PP-LA-524
