id,mpn_raw,mpn_normalized,description_text,manufacturer_raw,source_field,source_system,contract_no
242,11662988122,11662988122,"SOLUTION CHEM ANALYZER ELECSYS PROCELL","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
258,11706799001,11706799001,"TIP PIPET ASSAY PREPARATION ELECSYS","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
258,11706799001,11706799001,"TIP ANALYZER F/E 411 COBAS ELECSYS 2010 3600/BX","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
259,11706802001,11706802001,"CUP ANALYZER F/E 411 COBAS ELECSYS 2010 3600/BX","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
259,11706802001,11706802001,"CUP ANALYZER ELECSYS 60X60 REACTION","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
267,11731416160,11731416160,"CONTROL CHEMISTRY PRECI UNIVERSAL ELECSYS 4X3ML","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
267,11731416160,11731416160,"CONTROL IMMUNOLOGY COBAS PRECICONTROL 2X3ML LEVEL-1/2 SOLID BOTTLE LIGHT YELLOW IVD","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
268,11731548122,11731548122,"CALIBRATOR CHEMISTRY COBAS ELECSYS T3 2X1ML LEVEL-1/2 LYOPHILIZED BOTTLE WHITE LIGHT YELLOW IVD","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
268,11731548122,11731548122,"CALIBRATOR CHEMISTRY T3 CALSET 4ML","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
269,11731629160,11731629160,"REAGENT CHEMISTRY 100 TEST CARCINOEMBRYONIC ANTIGE","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
269,11731629160,11731629160,"TESTPACK, CEA (100)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
269,11731629160,11731629160,"REAGENT IMMUN ANALYZER COBAS E ELECSYS CEA 100TEST/EA","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
270,11731645322,11731645322,"CALIBRATOR IMMUNOLOGY COBAS ELECSYS CEA","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
270,11731645322,11731645322,"CALIBRATOR CHEMISTRY CEA CALSET 4ML","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
274,11732234122,11732234122,"REAGENT CHEM ANALYZER COBAS E ELECSYS LH 100TEST/EA","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
274,11732234122,11732234122,"TESTPACK, LH (100)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
274,11732234122,11732234122,"REAGENT CHEMISTRY 100 TEST LH ELECSYS COBAS E","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
279,11776193122,11776193122,"REAGENT CHEM ANALYZER ELECSYS CA 19-9","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
279,11776193122,11776193122,"TESTPACK, CA19-9 (100)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
