seq_no,Line_Description,contract_number
62996,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE MED/THICK RE",PP-OR-1487
63002,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
64165,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
64229,"STAPLER, TA 30V-3 NON-ABS CLIP",PP-OR-1487
64230,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
65402,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
65465,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
65467,"TROCAR, ENDO CLOSE",PP-OR-1487
67707,"STAPLER, ENDOGIA ULTRA UNIV 12MM XL",PP-OR-1487
67708,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
67724,"PURSTRING, DISP. 65 INST.",PP-OR-1487
68170,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
68171,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
68172,"TROCAR, ENDO CLOSE",PP-OR-1487
68173,"SUTURE, 2-0 ENDO STITCH POLYSORB VIOLET 48INCH",PP-OR-1487
68183,"HANDLE, GIA UNIVERSAL SHORT 12MM",PP-OR-1487
68184,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
68185,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
68199,"APPLIER, SURGICLIP LRG 13.0 TIT",PP-OR-1487
68202,"TROCAR, ENDO CLOSE",PP-OR-1487
68203,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
68204,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
68205,"ENDO STITCH, DISP 10MM",PP-OR-1487
68230,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
68231,"STAPLER, ENDOGIA ULTRA UNIV 12MM XL",PP-OR-1487
68232,"RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM",PP-OR-1487
68233,"APPLIER, ENDO CLIP II MED/LARGE 10 MM 20 TI CLIPS",PP-OR-1487
68234,"PURSTRING, DISP. 65 INST.",PP-OR-1487
69160,"APPLIER, SURGICLIP III 9.0IN SMALL",PP-OR-1487
69161,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
69164,"STAPLER, DST SERIES 28 MM W/ 4.8 MM STAPLE",PP-OR-1487
69165,"STAPLER, DST SERIES 33 MM W/ 4.8 MM STAPLE",PP-OR-1487
69166,"STAPLER, EEA XL 25MM W/ 4.8MM STAPLE",PP-OR-1487
69167,"STAPLER, EEA XL 28MM W/ 4.8MM STAPLE",PP-OR-1487
70642,"APPLIER, SURGICLIP III 9.0IN SMALL",PP-OR-1487
70643,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
70650,"STAPLER, TA 90-3.5",PP-OR-1487
70765,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
70766,"APPLIER, ENDO CLIP II MED/LARGE 10 MM 20 TI CLIPS",PP-OR-1487
